iter	MultiClass
494	0.07721062825
495	0.07707822156
496	0.07687611076
497	0.07667607196
498	0.07651187817
499	0.07631488681
500	0.07610557311
501	0.07591613868
502	0.07584745558
503	0.07564985974
504	0.07542547364
505	0.07522227537
506	0.0749284668
507	0.07470424753
508	0.07449729857
509	0.07431073017
510	0.0740665236
511	0.07378090257
512	0.0735658174
513	0.07342953937
514	0.07324464742
515	0.07309813921
516	0.07292235765
517	0.07264307564
518	0.07252368904
519	0.072426888
520	0.07219967134
521	0.0718982054
522	0.07177303388
523	0.07161307046
524	0.07142314605
525	0.07131153487
526	0.07105936141
527	0.07086355704
528	0.07070160267
529	0.0705004824
530	0.07027870775
531	0.07015887703
532	0.07000841032
533	0.06984342604
534	0.06977309124
535	0.06965235362
536	0.0694468761
537	0.06936988112
538	0.06913175322
539	0.06896011125
540	0.06871058541
541	0.0685468429
542	0.06829755344
543	0.06813290774
544	0.06797728271
545	0.0677736205
546	0.06752541482
547	0.06727897676
548	0.06716877167
549	0.06696216082
550	0.06684586456
551	0.06676173087
552	0.0665887626
553	0.06640210433
554	0.06624661645
555	0.06614968075
556	0.06599139387
557	0.06580047901
558	0.06560086266
559	0.06549124302
560	0.06527090548
561	0.06513985176
562	0.06492745488
563	0.06485693084
564	0.06458068286
565	0.06438731303
566	0.06424932406
567	0.06411324763
568	0.06392925088
569	0.06383057674
570	0.06373785645
571	0.06356849821
572	0.06342007493
573	0.06331712585
574	0.06323789331
575	0.06312603676
576	0.0630072301
577	0.06280629416
578	0.06260691253
579	0.06249377981
580	0.06241102322
581	0.06227814243
582	0.06212449542
583	0.06203532635
584	0.06192356947
585	0.06176822536
586	0.06167092737
587	0.06154202611
588	0.06138708184
589	0.06129992293
590	0.06117195771
591	0.06108212512
592	0.06101134648
593	0.06092422159
594	0.06081317321
595	0.06067928367
596	0.06057717511
597	0.06055176207
598	0.06043619613
599	0.06029583811
600	0.06021764982
601	0.06011535709
602	0.05995981914
603	0.05987546033
604	0.05965743426
605	0.05946660265
606	0.05925055912
607	0.05906117668
608	0.05882012479
609	0.05871188196
610	0.05865451594
611	0.05852550982
612	0.05838277018
613	0.05827180195
614	0.05815083762
615	0.0580559905
616	0.05797381812
617	0.05781973077
618	0.0577220292
619	0.05761291178
620	0.0575109266
621	0.057453694
622	0.05738238287
623	0.05725856587
624	0.05717048387
625	0.05696156356
626	0.05686016139
627	0.05671666611
628	0.05662440757
629	0.05650567547
630	0.05641668042
631	0.05625021675
632	0.05612886221
633	0.05598764479
634	0.0558593673
635	0.05571131762
636	0.0556130481
637	0.05554511912
638	0.05547624129
639	0.05535011491
640	0.05521215911
641	0.05511229315
642	0.05499944383
643	0.05492999443
644	0.05488973652
645	0.05484186771
646	0.05464775954
647	0.05454379246
648	0.05439832022
649	0.05429328487
650	0.05415846403
651	0.05407044106
652	0.05393782883
653	0.05376950702
654	0.05368299609
655	0.05360247235
656	0.05343972037
657	0.05335837892
658	0.05330250733
659	0.05320972379
660	0.05313695335
661	0.05303097347
662	0.05296136776
663	0.05283959794
664	0.05272427182
665	0.05264022473
666	0.0525391965
667	0.05247765982
668	0.052325411
669	0.05228373982
670	0.0521618217
671	0.05208804198
672	0.05199091575
673	0.05194357524
674	0.05185278569
675	0.05173279631
676	0.05164009638
677	0.05156997703
678	0.05150842874
679	0.05144168861
680	0.05131018601
681	0.05121012062
682	0.05109874743
683	0.05093417593
684	0.05083379719
685	0.05072202765
686	0.0506226171
687	0.05054227779
688	0.050369541
689	0.05029546729
690	0.05018545104
691	0.05011732804
692	0.0500430419
693	0.04994990365
694	0.04980597208
695	0.04970106843
696	0.0496293714
697	0.04954320971
698	0.04945525867
699	0.04935826073
700	0.04930750294
701	0.04921959853
702	0.04911459536
703	0.04904457106
704	0.04894831374
705	0.04876162651
706	0.04869043397
707	0.04862043943
708	0.0485440692
709	0.04843728037
710	0.04840730806
711	0.04828188005
712	0.04817115744
713	0.0480434681
714	0.0479562078
715	0.04785418289
716	0.04776550149
717	0.04770940095
718	0.04756928563
719	0.04748655138
720	0.04739036261
721	0.04730029622
722	0.04714409648
723	0.04704328006
724	0.04687883231
725	0.04678256709
726	0.04670334074
727	0.04657333266
728	0.04649427765
729	0.04637841507
730	0.04632276026
731	0.0462665594
732	0.04618926018
733	0.04613579667
734	0.0460807869
735	0.04596265339
736	0.04587599326
737	0.04580917487
738	0.04568316043
739	0.0456138408
740	0.04553238903
741	0.04540544709
742	0.0453356698
743	0.04528332154
744	0.04523072565
745	0.04515514521
746	0.04510531693
747	0.04502931811
748	0.04489553747
749	0.04484942095
750	0.04480183932
751	0.04470281349
752	0.04460741369
753	0.04452532746
754	0.04447077654
755	0.04441331528
756	0.04437439433
757	0.04432572755
758	0.04428269199
759	0.04417115788
760	0.04408479241
761	0.04400490109
762	0.04392492208
763	0.04386239296
764	0.04377026046
765	0.04371107528
766	0.0435628946
767	0.04351313417
768	0.04345804114
769	0.04331788349
770	0.04325464482
771	0.04318148688
772	0.04314090915
773	0.04308031051
774	0.04305671896
775	0.04297938513
776	0.04292901931
777	0.04281656971
778	0.04273206845
779	0.0426895758
780	0.0426251925
781	0.04255214644
782	0.04246146309
783	0.0423809652
784	0.04232359757
785	0.04226238675
786	0.04213986445
787	0.04207627236
788	0.04198830204
789	0.04193520644
790	0.04189361836
791	0.04183168946
792	0.04178553459
793	0.0417167647
794	0.0416155362
795	0.04155795118
796	0.04148997083
797	0.04139396752
798	0.04134073334
799	0.04129481934
800	0.04120604255
801	0.04113332329
802	0.04107098845
803	0.04102861733
804	0.04099010359
805	0.04090922453
806	0.04086055635
807	0.04078432017
808	0.04074783509
809	0.04068477298
810	0.04063717
811	0.04058137251
812	0.04053487014
813	0.04043166665
814	0.04037250716
815	0.04032056832
816	0.04027596231
817	0.04021640568
818	0.04014731904
819	0.04009237822
820	0.04004664734
821	0.03997903687
822	0.03994149942
823	0.03985843536
824	0.03978843302
825	0.03973607648
826	0.03967087582
827	0.03957664961
828	0.03952458434
829	0.03947909501
830	0.03942416525
831	0.03937051799
832	0.03930882902
833	0.03925610557
834	0.03922584887
835	0.03912322239
836	0.03907180703
837	0.03900633466
838	0.03889325737
839	0.0388414173
840	0.03878801465
841	0.03872624516
842	0.03859129514
843	0.03851911683
844	0.03848768381
845	0.03842625167
846	0.0383622793
847	0.03831777727
848	0.03821368453
849	0.03812499242
850	0.03809003415
851	0.03801279894
852	0.03797117293
853	0.03793562881
854	0.03788053766
855	0.03781144712
856	0.03774594319
857	0.03765672928
858	0.03758154109
859	0.03752267247
860	0.03748673743
861	0.03744343855
862	0.03737026709
863	0.03735521985
864	0.03728678431
865	0.03724538483
866	0.03717937077
867	0.03714020794
868	0.03706159783
869	0.03701396253
870	0.03692862022
871	0.03686749072
872	0.03682763427
873	0.03677955004
874	0.03675566577
875	0.03674143253
876	0.03668500472
877	0.03661612374
878	0.03654576504
879	0.03651111255
880	0.03643827489
881	0.03639868937
882	0.03635247035
883	0.036307133
884	0.03627312252
885	0.03620455826
886	0.03616904547
887	0.03615570832
888	0.03611603476
889	0.03609235715
890	0.0360247655
891	0.0359672548
892	0.035912369
893	0.03588226931
894	0.03580345604
895	0.03576633782
896	0.03569824352
897	0.03562276866
898	0.03557215808
899	0.03551444328
900	0.03545828054
901	0.03540436169
902	0.03532926652
903	0.03526523767
904	0.03517640189
905	0.03510973199
906	0.03504569703
907	0.03501807037
908	0.03498038437
909	0.03494424775
910	0.03491438659
911	0.03488559899
912	0.03482572198
913	0.03477784143
914	0.03471896057
915	0.03464949022
916	0.03455575973
917	0.03451329227
918	0.03446777618
919	0.03441717261
920	0.0343726812
921	0.03432387138
922	0.03427233621
923	0.03422165223
924	0.03417019482
925	0.03411679842
926	0.03407570914
927	0.034018068
928	0.03395524409
929	0.03392207008
930	0.03384737863
931	0.0338028245
932	0.03376587727
933	0.03372881358
934	0.03368855485
935	0.0336139017
936	0.0335866243
937	0.03352630668
938	0.03346243304
939	0.03338392728
940	0.03335836498
941	0.03331286117
942	0.03324721007
943	0.03318384685
944	0.03312992859
945	0.03308894867
946	0.03306627063
947	0.03303146996
948	0.03301900107
949	0.03299914333
950	0.03294705314
951	0.03292118948
952	0.0328886876
953	0.03284485998
954	0.03279848409
955	0.03275189162
956	0.03268703786
957	0.0326594804
958	0.0326192493
959	0.03258148662
960	0.03253690015
961	0.03250013255
962	0.0324553011
963	0.03242228413
964	0.03238804872
965	0.03230403917
966	0.03227902492
967	0.03224243366
968	0.03221555421
969	0.03217800491
970	0.03213390273
971	0.03210498324
972	0.03208434288
973	0.03204807186
974	0.03199272757
975	0.03195835986
976	0.03190928853
977	0.03187716411
978	0.03183693572
979	0.03178627581
980	0.03174741223
981	0.03169747953
982	0.03164079885
983	0.03160139948
984	0.03157432578
985	0.03153213052
986	0.03149482531
987	0.03145476656
988	0.0314335547
989	0.03139011142
990	0.03136049335
991	0.03132935338
992	0.03128131702
993	0.03121761818
994	0.0311819684
995	0.03114427442
996	0.0311182358
997	0.03108580353
998	0.03104560953
999	0.03101875505
