iter	Passed	Remaining
726	1055	396
727	1056	394
728	1057	393
729	1059	391
730	1060	390
731	1062	388
732	1063	387
733	1065	385
734	1066	384
735	1067	383
736	1069	381
737	1070	380
738	1071	378
739	1073	377
740	1074	375
741	1076	374
742	1077	372
743	1078	371
744	1080	369
745	1081	368
746	1082	366
747	1084	365
748	1085	363
749	1087	362
750	1091	361
751	1093	360
752	1094	359
753	1096	357
754	1097	356
755	1099	354
756	1100	353
757	1102	351
758	1103	350
759	1105	349
760	1106	347
761	1108	346
762	1109	344
763	1111	343
764	1112	341
765	1114	340
766	1116	339
767	1117	337
768	1119	336
769	1120	334
770	1122	333
771	1123	331
772	1125	330
773	1126	329
774	1128	327
775	1130	326
776	1131	324
777	1133	323
778	1134	321
779	1136	320
780	1137	319
781	1139	317
782	1140	316
783	1142	314
784	1143	313
785	1145	311
786	1146	310
787	1148	308
788	1149	307
789	1151	306
790	1152	304
791	1154	303
792	1155	301
793	1157	300
794	1159	298
795	1160	297
796	1162	296
797	1163	294
798	1165	293
799	1166	291
800	1168	290
801	1169	288
802	1171	287
803	1173	285
804	1174	284
805	1176	283
806	1177	281
807	1179	280
808	1180	278
809	1182	277
810	1183	275
811	1185	274
812	1186	273
813	1188	271
814	1190	270
815	1191	268
816	1193	267
817	1194	265
818	1196	264
819	1197	262
820	1199	261
821	1200	260
822	1202	258
823	1203	257
824	1205	255
825	1206	254
826	1208	252
827	1209	251
828	1211	249
829	1213	248
830	1214	247
831	1216	245
832	1217	244
833	1219	242
834	1220	241
835	1222	239
836	1223	238
837	1225	236
838	1227	235
839	1228	234
840	1230	232
841	1231	231
842	1233	229
843	1234	228
844	1236	226
845	1237	225
846	1239	223
847	1240	222
848	1241	220
849	1243	219
850	1244	217
851	1245	216
852	1247	214
853	1248	213
854	1249	211
855	1250	210
856	1252	208
857	1253	207
858	1254	205
859	1255	204
860	1257	202
861	1258	201
862	1259	199
863	1261	198
864	1262	197
865	1263	195
866	1265	194
867	1266	192
868	1267	191
869	1269	189
870	1270	188
871	1271	186
872	1272	185
873	1274	183
874	1275	182
875	1276	180
876	1277	179
877	1279	177
878	1280	176
879	1281	174
880	1283	173
881	1284	171
882	1286	170
883	1287	168
884	1289	167
885	1291	166
886	1292	164
887	1293	163
888	1295	161
889	1296	160
890	1297	158
891	1299	157
892	1300	155
893	1301	154
894	1302	152
895	1304	151
896	1305	149
897	1306	148
898	1308	146
899	1309	145
900	1310	144
901	1312	142
902	1313	141
903	1314	139
904	1315	138
905	1317	136
906	1318	135
907	1319	133
908	1321	132
909	1322	130
910	1323	129
911	1324	127
912	1326	126
913	1327	124
914	1328	123
915	1330	121
916	1331	120
917	1332	119
918	1333	117
919	1335	116
920	1336	114
921	1337	113
922	1338	111
923	1340	110
924	1341	108
925	1342	107
926	1344	105
927	1345	104
928	1346	102
929	1347	101
930	1349	99
931	1350	98
932	1351	97
933	1352	95
934	1354	94
935	1355	92
936	1356	91
937	1358	89
938	1359	88
939	1360	86
940	1362	85
941	1363	83
942	1364	82
943	1366	81
944	1367	79
945	1368	78
946	1369	76
947	1371	75
948	1372	73
949	1373	72
950	1375	70
951	1376	69
952	1377	67
953	1378	66
954	1380	65
955	1381	63
956	1382	62
957	1384	60
958	1385	59
959	1386	57
960	1388	56
961	1389	54
962	1390	53
963	1392	51
964	1393	50
965	1394	49
966	1395	47
967	1397	46
968	1398	44
969	1399	43
970	1401	41
971	1402	40
972	1403	38
973	1404	37
974	1406	36
975	1407	34
976	1408	33
977	1410	31
978	1411	30
979	1412	28
980	1413	27
981	1415	25
982	1416	24
983	1417	23
984	1419	21
985	1420	20
986	1421	18
987	1422	17
988	1424	15
989	1425	14
990	1426	12
991	1427	11
992	1429	10
993	1430	8
994	1431	7
995	1433	5
996	1434	4
997	1435	2
998	1437	1
999	1438	0
